x_A,z_A,delta_n_e_A3
3.5416666667,0.2083333333,-4.231619672280e-07
3.6111111111,0.2083333333,-4.493765089610e-07
3.6805555556,0.2083333333,-4.744485030500e-07
3.7500000000,0.2083333333,-4.975780262900e-07
3.8194444444,0.2083333333,-5.179394722200e-07
3.8888888889,0.2083333333,-5.351447616580e-07
3.9583333333,0.2083333333,-5.514468949230e-07
4.0277777778,0.2083333333,-5.715445291730e-07
4.0972222222,0.2083333333,-5.983926941530e-07
4.1666666667,0.2083333333,-6.300323853700e-07
4.2361111111,0.2083333333,-6.615625218900e-07
4.3055555556,0.2083333333,-6.885996056300e-07
4.3750000000,0.2083333333,-7.071069313700e-07
4.4444444444,0.2083333333,-7.124645612230e-07
4.5138888889,0.2083333333,-7.038888663570e-07
4.5833333333,0.2083333333,-6.907596872400e-07
4.6527777778,0.2083333333,-6.896290914600e-07
4.7222222222,0.2083333333,-7.103960351170e-07
4.7916666667,0.2083333333,-7.463338868010e-07
4.8611111111,0.2083333333,-7.806116916200e-07
4.9305555556,0.2083333333,-8.015141477000e-07
5.0000000000,0.2083333333,-8.079321888100e-07
5.0694444444,0.2083333333,-8.015133958000e-07
5.1388888889,0.2083333333,-7.806103030600e-07
5.2083333333,0.2083333333,-7.463320616600e-07
5.2777777778,0.2083333333,-7.103940118670e-07
5.3472222222,0.2083333333,-6.896270897870e-07
5.4166666667,0.2083333333,-6.907578671030e-07
5.4861111111,0.2083333333,-7.038873090570e-07
5.5555555556,0.2083333333,-7.124632765100e-07
5.6250000000,0.2083333333,-7.071058831500e-07
5.6944444444,0.2083333333,-6.885987436000e-07
5.7638888889,0.2083333333,-6.615618079000e-07
5.8333333333,0.2083333333,-6.300318058900e-07
5.9027777778,0.2083333333,-5.983922564820e-07
5.9722222222,0.2083333333,-5.715442473800e-07
6.0416666667,0.2083333333,-5.514467729970e-07
6.1111111111,0.2083333333,-5.351447833110e-07
6.1805555556,0.2083333333,-5.179396013100e-07
6.2500000000,0.2083333333,-4.975782169600e-07
6.3194444444,0.2083333333,-4.744487142000e-07
6.3888888889,0.2083333333,-4.493767164620e-07
6.4583333333,0.2083333333,-4.231621683780e-07
6.5277777778,0.2083333333,-3.972519846200e-07
6.5972222222,0.2083333333,-3.725405364650e-07
6.6666666667,0.2083333333,-3.476673115040e-07
6.7361111111,0.2083333333,-3.205455524770e-07
6.8055555556,0.2083333333,-2.914890314890e-07
6.8750000000,0.2083333333,-2.622646879140e-07
6.9444444444,0.2083333333,-2.315002999110e-07
7.0138888889,0.2083333333,-1.945411840500e-07
7.0833333333,0.2083333333,-1.510348420313e-07
7.1527777778,0.2083333333,-1.109133780737e-07
7.2222222222,0.2083333333,-8.837908659490e-08
7.2916666667,0.2083333333,-8.840897163830e-08
7.3611111111,0.2083333333,-1.013359584810e-07
7.4305555556,0.2083333333,-1.120136484705e-07
7.5000000000,0.2083333333,-1.125891574510e-07
7.5694444444,0.2083333333,-1.052161068730e-07
7.6388888889,0.2083333333,-9.510724323500e-08
7.7083333333,0.2083333333,-8.482937926300e-08
7.7777777778,0.2083333333,-7.524735473700e-08
7.8472222222,0.2083333333,-6.806022491500e-08
7.9166666667,0.2083333333,-6.463933067770e-08
7.9861111111,0.2083333333,-6.343473904690e-08
8.0555555556,0.2083333333,-6.066486043300e-08
8.1250000000,0.2083333333,-5.373310081930e-08
8.1944444444,0.2083333333,-4.312527776560e-08
8.2638888889,0.2083333333,-3.140561615530e-08
8.3333333333,0.2083333333,-2.160301691700e-08
8.4027777778,0.2083333333,-1.641287270160e-08
8.4722222222,0.2083333333,-1.727547762430e-08
8.5416666667,0.2083333333,-2.303774403216e-08
8.6111111111,0.2083333333,-2.978713755845e-08
8.6805555556,0.2083333333,-3.275720058600e-08
8.7500000000,0.2083333333,-2.901939526750e-08
