cell,ik,band,energy_eV,native_weight,even_weight,odd_weight,norm,native_minus_even
primitive,3,6,9.386831302520655,1.0,0.9999999999999986,0.0,0.9999999999999986,1.4432899320127035e-15
primitive,3,7,9.386831302582925,1.0,1.0000000000000022,0.0,1.0000000000000022,-2.220446049250313e-15
primitive,3,8,10.32014022698413,1.0,0.9999999999999987,0.0,0.9999999999999987,1.3322676295501878e-15
primitive,4,1,-5.543978996938192,1.0,1.0000000000000007,0.0,1.0000000000000007,-6.661338147750939e-16
primitive,4,2,4.920507985645324,1.0,0.9999999999999958,0.0,0.9999999999999958,4.218847493575595e-15
primitive,4,3,5.407545244065117,1.0,1.000000000000001,0.0,1.000000000000001,-1.1102230246251565e-15
primitive,4,4,5.40754524403236,1.0,0.9999999999999969,0.0,0.9999999999999969,3.1086244689504383e-15
primitive,4,5,8.220544365122809,1.0,0.9999999999999981,0.0,0.9999999999999981,1.887379141862766e-15
primitive,4,6,9.95338257990721,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,4,7,9.953382580087794,1.0,0.9999999999999917,0.0,0.9999999999999917,8.326672684688674e-15
primitive,4,8,10.685938214401373,1.0,1.0000000000000022,0.0,1.0000000000000022,-2.220446049250313e-15
primitive,5,1,-5.32939071455714,1.0,0.9999999999999987,0.0,0.9999999999999987,1.3322676295501878e-15
primitive,5,2,4.220426675877731,1.0,0.9999999999999967,0.0,0.9999999999999967,3.3306690738754696e-15
primitive,5,3,5.014626370388623,1.0,1.0,0.0,1.0,0.0
primitive,5,4,5.014626370682658,1.0,0.9999999999999998,0.0,0.9999999999999998,2.220446049250313e-16
primitive,5,5,7.901437091342597,1.0,0.9999999999999992,0.0,0.9999999999999992,7.771561172376096e-16
primitive,5,6,10.541310574515865,1.0,0.9999999999998753,0.0,0.9999999999998753,1.2467804566540508e-13
primitive,5,7,10.599387694464477,1.0,0.9999999999999482,0.0,0.9999999999999482,5.184741524999481e-14
primitive,5,8,10.599387695733933,1.0,0.9999999999999917,0.0,0.9999999999999917,8.326672684688674e-15
primitive,6,1,-5.054991824144086,1.0,1.0000000000000022,0.0,1.0000000000000022,-2.220446049250313e-15
primitive,6,2,3.4881414490709006,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,6,3,4.642393421812469,1.0,0.999999999999999,0.0,0.999999999999999,9.992007221626409e-16
primitive,6,4,4.642393421728886,1.0,0.9999999999999999,0.0,0.9999999999999999,1.1102230246251565e-16
primitive,6,5,7.589180755547528,1.0,1.0000000000000033,0.0,1.0000000000000033,-3.3306690738754696e-15
primitive,6,6,9.972204127667245,1.0,0.9999999999999971,0.0,0.9999999999999971,2.886579864025407e-15
primitive,6,7,11.292582939229838,1.0,0.9999999999999971,0.0,0.9999999999999971,2.886579864025407e-15
primitive,6,8,11.292582939546934,1.0,0.999999999999999,0.0,0.999999999999999,9.992007221626409e-16
primitive,7,1,-4.721880414499071,1.0,0.9999999999999988,0.0,0.9999999999999988,1.2212453270876722e-15
primitive,7,2,2.7405751802037104,1.0,1.0,0.0,1.0,0.0
primitive,7,3,4.305834380170796,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,7,4,4.305834380310753,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
