# ik band kdist_A-1 k1 k2 k3 energy_eV E-Ef_eV occupation charge mx my mz
1 43 0.000000000 0.000000000 0.000000000 0.000000000 -3.076779090 -1.588679090 1.000000000 0.597000000 0.001000000 -0.100000000 0.048000000
1 44 0.000000000 0.000000000 0.000000000 0.000000000 -3.076712040 -1.588612040 1.000000000 0.602000000 -0.001000000 -0.076000000 0.378000000
1 45 0.000000000 0.000000000 0.000000000 0.000000000 -2.850184020 -1.362084020 1.000000000 0.604000000 0.000000000 0.000000000 -0.604000000
1 46 0.000000000 0.000000000 0.000000000 0.000000000 -2.850042860 -1.361942860 1.000000000 0.604000000 0.000000000 0.000000000 0.604000000
1 47 0.000000000 0.000000000 0.000000000 0.000000000 -2.674181850 -1.186081850 1.000000000 0.568000000 -0.000000000 0.004000000 -0.559000000
1 48 0.000000000 0.000000000 0.000000000 0.000000000 -2.674004670 -1.185904670 1.000000000 0.568000000 -0.000000000 0.003000000 0.559000000
1 49 0.000000000 0.000000000 0.000000000 0.000000000 -2.572292690 -1.084192690 1.000000000 0.580000000 0.000000000 -0.004000000 -0.580000000
1 50 0.000000000 0.000000000 0.000000000 0.000000000 -2.572139250 -1.084039250 1.000000000 0.580000000 0.000000000 -0.004000000 0.580000000
1 51 0.000000000 0.000000000 0.000000000 0.000000000 -2.052532280 -0.564432280 1.000000000 0.242000000 0.031000000 0.237000000 0.010000000
1 52 0.000000000 0.000000000 0.000000000 0.000000000 -2.022291540 -0.534191540 1.000000000 0.251000000 -0.032000000 -0.246000000 -0.010000000
1 53 0.000000000 0.000000000 0.000000000 0.000000000 -1.459945270 0.028154730 0.000135870 0.533000000 0.066000000 0.525000000 0.018000000
1 54 0.000000000 0.000000000 0.000000000 0.000000000 -1.449850680 0.038249320 0.000043120 0.524000000 -0.064000000 -0.516000000 -0.018000000
1 55 0.000000000 0.000000000 0.000000000 0.000000000 0.112240980 1.600340980 0.000000000 0.446000000 0.041000000 0.432000000 0.003000000
1 56 0.000000000 0.000000000 0.000000000 0.000000000 0.113537030 1.601637030 0.000000000 0.447000000 -0.041000000 -0.433000000 -0.003000000
1 57 0.000000000 0.000000000 0.000000000 0.000000000 0.687176430 2.175276430 0.000000000 0.155000000 0.020000000 0.152000000 0.006000000
1 58 0.000000000 0.000000000 0.000000000 0.000000000 0.708158300 2.196258300 0.000000000 0.155000000 -0.020000000 -0.152000000 -0.006000000
1 59 0.000000000 0.000000000 0.000000000 0.000000000 1.471241340 2.959341340 0.000000000 0.544000000 0.003000000 0.023000000 -0.160000000
1 60 0.000000000 0.000000000 0.000000000 0.000000000 1.471447180 2.959547180 0.000000000 0.546000000 -0.002000000 -0.021000000 0.161000000
1 61 0.000000000 0.000000000 0.000000000 0.000000000 1.544720580 3.032820580 0.000000000 0.212000000 0.026000000 0.190000000 0.008000000
1 62 0.000000000 0.000000000 0.000000000 0.000000000 1.558505120 3.046605120 0.000000000 0.214000000 -0.027000000 -0.195000000 -0.008000000
1 63 0.000000000 0.000000000 0.000000000 0.000000000 1.760813580 3.248913580 0.000000000 0.535000000 0.000000000 -0.000000000 -0.535000000
1 64 0.000000000 0.000000000 0.000000000 0.000000000 1.760852470 3.248952470 0.000000000 0.535000000 0.000000000 -0.000000000 0.535000000
1 65 0.000000000 0.000000000 0.000000000 0.000000000 1.925449410 3.413549410 0.000000000 0.295000000 0.034000000 0.287000000 0.010000000
1 66 0.000000000 0.000000000 0.000000000 0.000000000 1.931155800 3.419255800 0.000000000 0.290000000 -0.034000000 -0.282000000 -0.010000000
1 67 0.000000000 0.000000000 0.000000000 0.000000000 2.272767650 3.760867650 0.000000000 0.107000000 0.011000000 0.073000000 0.002000000
1 68 0.000000000 0.000000000 0.000000000 0.000000000 2.278202220 3.766302220 0.000000000 0.110000000 -0.005000000 -0.066000000 -0.012000000
1 69 0.000000000 0.000000000 0.000000000 0.000000000 2.308364130 3.796464130 0.000000000 0.493000000 -0.007000000 -0.002000000 -0.353000000
1 70 0.000000000 0.000000000 0.000000000 0.000000000 2.313147990 3.801247990 0.000000000 0.496000000 0.103000000 0.022000000 0.352000000
1 71 0.000000000 0.000000000 0.000000000 0.000000000 2.392001780 3.880101780 0.000000000 0.550000000 -0.003000000 0.002000000 0.253000000
1 72 0.000000000 0.000000000 0.000000000 0.000000000 2.412274770 3.900374770 0.000000000 0.525000000 -0.080000000 -0.028000000 -0.231000000
2 1 0.018741886 0.010204080 0.000000000 0.000000000 -36.414652830 -34.926552830 1.000000000 0.974000000 0.175000000 0.956000000 0.071000000
2 2 0.018741886 0.010204080 0.000000000 0.000000000 -36.413397880 -34.925297880 1.000000000 0.974000000 -0.175000000 -0.956000000 -0.071000000
2 3 0.018741886 0.010204080 0.000000000 0.000000000 -36.277882860 -34.789782860 1.000000000 0.978000000 0.270000000 0.921000000 0.185000000
2 4 0.018741886 0.010204080 0.000000000 0.000000000 -36.277602610 -34.789502610 1.000000000 0.978000000 -0.270000000 -0.921000000 -0.185000000
2 5 0.018741886 0.010204080 0.000000000 0.000000000 -23.936302890 -22.448202890 1.000000000 0.990000000 -0.003000000 0.003000000 0.601000000
2 6 0.018741886 0.010204080 0.000000000 0.000000000 -23.936297940 -22.448197940 1.000000000 0.990000000 -0.002000000 0.003000000 -0.601000000
2 7 0.018741886 0.010204080 0.000000000 0.000000000 -23.928906670 -22.440806670 1.000000000 0.990000000 -0.351000000 0.177000000 0.019000000
2 8 0.018741886 0.010204080 0.000000000 0.000000000 -23.928790450 -22.440690450 1.000000000 0.990000000 0.357000000 -0.184000000 -0.019000000
2 9 0.018741886 0.010204080 0.000000000 0.000000000 -22.911275340 -21.423175340 1.000000000 0.990000000 0.062000000 -0.152000000 0.030000000
2 10 0.018741886 0.010204080 0.000000000 0.000000000 -22.911106780 -21.423006780 1.000000000 0.990000000 -0.058000000 0.142000000 -0.031000000
2 11 0.018741886 0.010204080 0.000000000 0.000000000 -22.893440830 -21.405340830 1.000000000 0.991000000 0.004000000 -0.019000000 -0.592000000
